type,t,x,y,z,qx,qy,qz,qw
odom,9.788000,-1.947148,-0.416606,0.008718,0.000009,0.000778,0.000260,1.000000
estimator,1716641581.230767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
real,9.788000,-1.999971,-0.500000,0.008718,0.000009,0.000778,0.000260,1.000000
odom,9.822000,-1.917351,-0.437038,0.008726,0.000012,0.000779,0.000261,1.000000
estimator,1716641581.264898,-1.947148,-0.416606,0.008718,0.000009,0.000778,0.000260,1.000000
real,9.822000,-1.999970,-0.500000,0.008726,0.000012,0.000779,0.000261,1.000000
odom,9.856000,-2.095318,-0.403468,0.008728,0.000008,0.000778,0.000262,1.000000
estimator,1716641581.299115,-1.917351,-0.437038,0.008726,0.000012,0.000779,0.000261,1.000000
real,9.856000,-1.999970,-0.500000,0.008728,0.000008,0.000778,0.000262,1.000000
odom,9.890000,-2.095999,-0.407287,0.008726,0.000006,0.000776,0.000263,1.000000
estimator,1716641581.332934,-2.095318,-0.403468,0.008728,0.000008,0.000778,0.000262,1.000000
real,9.890000,-1.999970,-0.500000,0.008726,0.000006,0.000776,0.000263,1.000000
odom,9.924000,-2.010878,-0.482441,0.008721,0.000007,0.000776,0.000264,1.000000
estimator,1716641581.367027,-2.095999,-0.407287,0.008726,0.000006,0.000776,0.000263,1.000000
real,9.924000,-1.999970,-0.500000,0.008721,0.000007,0.000776,0.000264,1.000000
odom,9.958000,-2.070071,-0.468026,0.008718,0.000010,0.000777,0.000265,1.000000
estimator,1716641581.401256,-2.010878,-0.482441,0.008721,0.000007,0.000776,0.000264,1.000000
real,9.958000,-1.999970,-0.500000,0.008718,0.000010,0.000777,0.000265,1.000000
odom,9.992000,-2.009526,-0.401403,0.008722,0.000011,0.000779,0.000266,1.000000
estimator,1716641581.435251,-2.070071,-0.468026,0.008718,0.000010,0.000777,0.000265,1.000000
real,9.992000,-1.999970,-0.500000,0.008722,0.000011,0.000779,0.000266,1.000000
odom,10.026000,-1.914114,-0.451408,0.008724,0.000007,0.000778,0.000267,1.000000
estimator,1716641581.469616,-2.009526,-0.401403,0.008722,0.000011,0.000779,0.000266,1.000000
real,10.026000,-1.999970,-0.500000,0.008724,0.000007,0.000778,0.000267,1.000000
odom,10.060000,-2.095699,-0.410628,0.008728,0.000006,0.000778,0.000268,1.000000
estimator,1716641581.503055,-1.914114,-0.451408,0.008724,0.000007,0.000778,0.000267,1.000000
real,10.060000,-1.999970,-0.500000,0.008728,0.000006,0.000778,0.000268,1.000000
odom,10.094000,-1.886535,-0.473877,0.008728,0.000008,0.000778,0.000269,1.000000
estimator,1716641581.537205,-2.095699,-0.410628,0.008728,0.000006,0.000778,0.000268,1.000000
real,10.094000,-1.999970,-0.500000,0.008728,0.000008,0.000778,0.000269,1.000000
odom,10.128000,-2.162823,-0.464956,0.008720,0.000009,0.000776,0.000270,1.000000
estimator,1716641581.571127,-1.886535,-0.473877,0.008728,0.000008,0.000778,0.000269,1.000000
real,10.128000,-1.999970,-0.500000,0.008720,0.000009,0.000776,0.000270,1.000000
odom,10.162000,-2.052785,-0.499741,0.008717,0.000011,0.000776,0.000271,1.000000
estimator,1716641581.605007,-2.162823,-0.464956,0.008720,0.000009,0.000776,0.000270,1.000000
real,10.162000,-1.999970,-0.500000,0.008717,0.000011,0.000776,0.000271,1.000000
odom,10.196000,-2.139172,-0.412159,0.008719,0.000009,0.000776,0.000272,1.000000
estimator,1716641581.639421,-2.095931,-0.455963,0.008785,0.000011,0.000776,0.000260,1.000000
real,10.196000,-1.999970,-0.500000,0.008719,0.000009,0.000776,0.000272,1.000000
odom,10.230000,-1.849097,-0.463286,0.008719,0.000008,0.000778,0.000273,1.000000
estimator,1716641581.673407,-2.096022,-0.455937,0.008785,0.000011,0.000776,0.000281,1.000000
real,10.230000,-1.999970,-0.500000,0.008719,0.000008,0.000778,0.000273,1.000000
odom,10.264000,-1.885643,-0.425610,0.008721,0.000009,0.000778,0.000273,1.000000
estimator,1716641581.707919,-1.849097,-0.463286,0.008853,0.000009,0.000777,0.000273,1.000000
real,10.264000,-1.999970,-0.500000,0.008721,0.000009,0.000778,0.000273,1.000000
odom,10.298000,-2.001378,-0.417862,0.008726,0.000010,0.000778,0.000274,1.000000
estimator,1716641581.741531,-1.885643,-0.425610,0.008856,0.000011,0.000778,0.000273,1.000000
real,10.298000,-1.999970,-0.500000,0.008726,0.000010,0.000778,0.000274,1.000000
odom,10.332000,-1.875667,-0.478695,0.008728,0.000008,0.000779,0.000275,1.000000
estimator,1716641581.775817,-2.001378,-0.417862,0.008860,0.000012,0.000777,0.000274,1.000000
real,10.332000,-1.999970,-0.500000,0.008728,0.000008,0.000779,0.000275,1.000000
odom,10.366000,-1.945447,-0.401349,0.008726,0.000008,0.000778,0.000276,1.000000
estimator,1716641581.809811,-1.875667,-0.478695,0.008862,0.000010,0.000778,0.000275,1.000000
real,10.366000,-1.999970,-0.500000,0.008726,0.000008,0.000778,0.000276,1.000000
