type,t,x,y,z,qx,qy,qz,qw
odom,509.805000,-1.991242,-0.416552,0.008726,-0.000002,0.000778,0.014426,0.999896
estimator,1716796013.094987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
real,509.805000,-1.999217,-0.499990,0.008726,-0.000002,0.000778,0.014426,0.999896
odom,509.839000,-1.914255,-0.436115,0.008724,0.000001,0.000777,0.014427,0.999896
estimator,1716796013.128589,-1.991242,-0.416552,0.008726,-0.000002,0.000778,0.014426,0.999896
real,509.839000,-1.999217,-0.499990,0.008724,0.000001,0.000777,0.014427,0.999896
odom,509.873000,-1.815506,-0.495155,0.008721,0.000000,0.000776,0.014428,0.999896
estimator,1716796013.162947,-1.914255,-0.436115,0.008724,0.000001,0.000777,0.014427,0.999896
real,509.873000,-1.999217,-0.499990,0.008721,0.000000,0.000776,0.014428,0.999896
odom,509.907000,-1.867983,-0.440042,0.008716,-0.000005,0.000777,0.014429,0.999896
estimator,1716796013.197360,-1.815506,-0.495155,0.008721,0.000000,0.000776,0.014428,0.999896
real,509.907000,-1.999216,-0.499990,0.008716,-0.000005,0.000777,0.014429,0.999896
odom,509.941000,-1.710673,-0.406982,0.008718,-0.000007,0.000777,0.014430,0.999896
estimator,1716796013.231570,-1.867983,-0.440042,0.008716,-0.000005,0.000777,0.014429,0.999896
real,509.941000,-1.999216,-0.499990,0.008718,-0.000007,0.000777,0.014430,0.999896
odom,509.975000,-2.155897,-0.432774,0.008720,-0.000001,0.000776,0.014431,0.999896
estimator,1716796013.265258,-1.710673,-0.406982,0.008718,-0.000007,0.000777,0.014430,0.999896
real,509.975000,-1.999216,-0.499990,0.008720,-0.000001,0.000776,0.014431,0.999896
odom,510.009000,-1.997869,-0.450693,0.008721,0.000001,0.000779,0.014432,0.999896
estimator,1716796013.299039,-2.155897,-0.432774,0.008720,-0.000001,0.000776,0.014431,0.999896
real,510.009000,-1.999216,-0.499990,0.008721,0.000001,0.000779,0.014432,0.999896
odom,510.043000,-2.077504,-0.476581,0.008727,0.000000,0.000779,0.014433,0.999896
estimator,1716796013.333168,-1.997869,-0.450693,0.008721,0.000001,0.000779,0.014432,0.999896
real,510.043000,-1.999216,-0.499990,0.008727,0.000000,0.000779,0.014433,0.999896
odom,510.077000,-1.997392,-0.482485,0.008726,-0.000008,0.000779,0.014434,0.999896
estimator,1716796013.367056,-2.077504,-0.476581,0.008727,0.000000,0.000779,0.014433,0.999896
real,510.077000,-1.999216,-0.499990,0.008726,-0.000008,0.000779,0.014434,0.999896
odom,510.111000,-2.010693,-0.475063,0.008725,-0.000007,0.000778,0.014435,0.999896
estimator,1716796013.401221,-1.997392,-0.482485,0.008726,-0.000008,0.000779,0.014434,0.999896
real,510.111000,-1.999216,-0.499990,0.008725,-0.000007,0.000778,0.014435,0.999896
odom,510.145000,-2.072404,-0.433072,0.008726,-0.000001,0.000780,0.014436,0.999895
estimator,1716796013.435416,-2.010693,-0.475063,0.008725,-0.000007,0.000778,0.014435,0.999896
real,510.145000,-1.999216,-0.499990,0.008726,-0.000001,0.000780,0.014436,0.999895
odom,510.179000,-2.093701,-0.499789,0.008725,0.000001,0.000778,0.014437,0.999895
estimator,1716796013.489298,-2.083561,-0.466178,0.008744,-0.000001,0.000780,0.014387,0.999896
real,510.179000,-1.999216,-0.499990,0.008725,0.000001,0.000778,0.014437,0.999895
odom,510.213000,-1.883065,-0.410868,0.008727,-0.000005,0.000777,0.014438,0.999895
estimator,1716796013.514985,-2.082549,-0.466708,0.008743,-0.000001,0.000780,0.014466,0.999895
real,510.213000,-1.999216,-0.499990,0.008727,-0.000005,0.000777,0.014438,0.999895
odom,510.247000,-1.934027,-0.426736,0.008727,-0.000007,0.000776,0.014439,0.999895
estimator,1716796013.545506,-1.883065,-0.410868,0.008763,-0.000007,0.000779,0.014438,0.999895
real,510.247000,-1.999216,-0.499990,0.008727,-0.000007,0.000776,0.014439,0.999895
odom,510.281000,-1.881608,-0.489341,0.008726,-0.000000,0.000777,0.014440,0.999895
estimator,1716796013.577552,-1.934027,-0.426736,0.008763,-0.000009,0.000778,0.014439,0.999895
