type,t,x,y,z,qx,qy,qz,qw
odom,2.856000,-1.965638,-0.526473,0.008728,0.000009,0.000779,0.000075,1.000000
estimator,1716590958.085866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
real,2.856000,-1.999981,-0.500000,0.008728,0.000009,0.000779,0.000075,1.000000
odom,2.890000,-2.047671,-0.526747,0.008722,0.000011,0.000776,0.000076,1.000000
estimator,1716590958.120036,-1.965638,-0.526473,0.008728,0.000009,0.000779,0.000075,1.000000
real,2.890000,-1.999981,-0.500000,0.008722,0.000011,0.000776,0.000076,1.000000
odom,2.924000,-2.081230,-0.427318,0.008719,0.000009,0.000775,0.000077,1.000000
estimator,1716590958.154001,-2.047671,-0.526747,0.008722,0.000011,0.000776,0.000076,1.000000
real,2.924000,-1.999981,-0.500000,0.008719,0.000009,0.000775,0.000077,1.000000
odom,2.958000,-2.044102,-0.497974,0.008719,0.000008,0.000777,0.000078,1.000000
estimator,1716590958.188104,-2.081230,-0.427318,0.008719,0.000009,0.000775,0.000077,1.000000
real,2.958000,-1.999980,-0.500000,0.008719,0.000008,0.000777,0.000078,1.000000
odom,2.992000,-2.027387,-0.423761,0.008721,0.000008,0.000778,0.000079,1.000000
estimator,1716590958.222006,-2.044102,-0.497974,0.008719,0.000008,0.000777,0.000078,1.000000
real,2.992000,-1.999980,-0.500000,0.008721,0.000008,0.000778,0.000079,1.000000
odom,3.026000,-2.036892,-0.426155,0.008726,0.000008,0.000778,0.000080,1.000000
estimator,1716590958.255879,-2.027387,-0.423761,0.008721,0.000008,0.000778,0.000079,1.000000
real,3.026000,-1.999980,-0.500000,0.008726,0.000008,0.000778,0.000080,1.000000
odom,3.060000,-1.928667,-0.588113,0.008726,0.000009,0.000778,0.000081,1.000000
estimator,1716590958.290021,-2.036892,-0.426155,0.008726,0.000008,0.000778,0.000080,1.000000
real,3.060000,-1.999980,-0.500000,0.008726,0.000009,0.000778,0.000081,1.000000
odom,3.094000,-1.953377,-0.526796,0.008723,0.000010,0.000777,0.000081,1.000000
estimator,1716590958.323972,-1.928667,-0.588113,0.008726,0.000009,0.000778,0.000081,1.000000
real,3.094000,-1.999980,-0.500000,0.008723,0.000010,0.000777,0.000081,1.000000
odom,3.128000,-1.921267,-0.503760,0.008716,0.000011,0.000776,0.000082,1.000000
estimator,1716590958.358030,-1.953377,-0.526796,0.008723,0.000010,0.000777,0.000081,1.000000
real,3.128000,-1.999980,-0.500000,0.008716,0.000011,0.000776,0.000082,1.000000
odom,3.162000,-1.941880,-0.548580,0.008721,0.000009,0.000777,0.000083,1.000000
estimator,1716590958.392186,-1.921267,-0.503760,0.008716,0.000011,0.000776,0.000082,1.000000
real,3.162000,-1.999980,-0.500000,0.008721,0.000009,0.000777,0.000083,1.000000
odom,3.196000,-1.906850,-0.576629,0.008725,0.000006,0.000779,0.000084,1.000000
estimator,1716590958.430187,-1.796411,-0.164517,0.008501,-0.000059,0.000775,-0.086859,0.996220
real,3.196000,-1.999980,-0.500000,0.008725,0.000006,0.000779,0.000084,1.000000
odom,3.230000,-2.023551,-0.598959,0.008726,0.000005,0.000779,0.000085,1.000000
estimator,1716590958.463019,-1.924323,-0.563249,0.008693,0.000009,0.000777,0.000158,1.000000
real,3.230000,-1.999980,-0.500000,0.008726,0.000005,0.000779,0.000085,1.000000
odom,3.264000,-1.975404,-0.402043,0.008726,0.000009,0.000778,0.000086,1.000000
estimator,1716590958.496362,-2.023551,-0.598959,0.008667,0.000008,0.000777,0.000085,1.000000
real,3.264000,-1.999980,-0.500000,0.008726,0.000009,0.000778,0.000086,1.000000
odom,3.298000,-2.040623,-0.597566,0.008724,0.000012,0.000775,0.000087,1.000000
estimator,1716590958.530237,-1.975404,-0.402043,0.008668,0.000012,0.000777,0.000086,1.000000
real,3.298000,-1.999980,-0.500000,0.008724,0.000012,0.000775,0.000087,1.000000
odom,3.332000,-2.054661,-0.567335,0.008717,0.000012,0.000777,0.000088,1.000000
estimator,1716590958.563791,-2.040623,-0.597566,0.008664,0.000015,0.000774,0.000087,1.000000
real,3.332000,-1.999980,-0.500000,0.008717,0.000012,0.000777,0.000088,1.000000
odom,3.366000,-2.086921,-0.596756,0.008718,0.000007,0.000778,0.000089,1.000000
estimator,1716590958.597173,-2.054661,-0.567335,0.008658,0.000015,0.000775,0.000088,1.000000
real,3.366000,-1.999980,-0.500000,0.008718,0.000007,0.000778,0.000089,1.000000
odom,3.400000,-1.954718,-0.497013,0.008718,0.000006,0.000778,0.000090,1.000000
estimator,1716590958.647130,-1.449092,-4.854626,0.007586,0.000011,0.000777,0.000383,1.000000
real,3.400000,-1.999980,-0.500000,0.008718,0.000006,0.000778,0.000090,1.000000
odom,3.434000,-2.051191,-0.424046,0.008720,0.000009,0.000777,0.000091,1.000000
estimator,1716590958.675812,-2.020623,-0.546785,0.008556,0.000010,0.000777,0.000076,1.000000
real,3.434000,-1.999980,-0.500000,0.008720,0.000009,0.000777,0.000091,1.000000
odom,3.468000,-2.037492,-0.493854,0.008725,0.000009,0.000779,0.000092,1.000000
estimator,1716590958.708050,-2.051192,-0.424046,0.008458,0.000014,0.000775,0.000091,1.000000
real,3.468000,-1.999980,-0.500000,0.008725,0.000009,0.000779,0.000092,1.000000
