type,t,x,y,z,qx,qy,qz,qw
odom,5.533000,-1.916499,-0.544452,0.008727,0.000007,0.000778,0.000143,1.000000
estimator,1716592595.691612,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
real,5.533000,-1.999977,-0.500000,0.008727,0.000007,0.000778,0.000143,1.000000
odom,5.567000,-1.919985,-0.474595,0.008726,0.000008,0.000777,0.000144,1.000000
estimator,1716592595.725746,-1.916499,-0.544452,0.008727,0.000007,0.000778,0.000143,1.000000
real,5.567000,-1.999977,-0.500000,0.008726,0.000008,0.000777,0.000144,1.000000
odom,5.601000,-2.047934,-0.417503,0.008717,0.000011,0.000776,0.000145,1.000000
estimator,1716592595.759625,-1.919985,-0.474595,0.008726,0.000008,0.000777,0.000144,1.000000
real,5.601000,-1.999977,-0.500000,0.008717,0.000011,0.000776,0.000145,1.000000
odom,5.635000,-1.971939,-0.441054,0.008717,0.000008,0.000777,0.000146,1.000000
estimator,1716592595.793566,-2.047934,-0.417503,0.008717,0.000011,0.000776,0.000145,1.000000
real,5.635000,-1.999977,-0.500000,0.008717,0.000008,0.000777,0.000146,1.000000
odom,5.669000,-2.022871,-0.529358,0.008719,0.000008,0.000777,0.000147,1.000000
estimator,1716592595.827526,-1.971939,-0.441054,0.008717,0.000008,0.000777,0.000146,1.000000
real,5.669000,-1.999977,-0.500000,0.008719,0.000008,0.000777,0.000147,1.000000
odom,5.703000,-1.950122,-0.594413,0.008725,0.000008,0.000779,0.000148,1.000000
estimator,1716592595.861677,-2.022871,-0.529358,0.008719,0.000008,0.000777,0.000147,1.000000
real,5.703000,-1.999977,-0.500000,0.008725,0.000008,0.000779,0.000148,1.000000
odom,5.737000,-1.983288,-0.548682,0.008726,0.000008,0.000778,0.000149,1.000000
estimator,1716592595.895821,-1.950122,-0.594413,0.008725,0.000008,0.000779,0.000148,1.000000
real,5.737000,-1.999977,-0.500000,0.008726,0.000008,0.000778,0.000149,1.000000
odom,5.771000,-1.993875,-0.437864,0.008724,0.000010,0.000776,0.000150,1.000000
estimator,1716592595.932722,-4.191110,0.913512,0.012185,-0.000532,0.000568,-0.691761,0.722126
real,5.771000,-1.999977,-0.500000,0.008724,0.000010,0.000776,0.000150,1.000000
odom,5.805000,-1.931838,-0.484566,0.008717,0.000009,0.000776,0.000151,1.000000
estimator,1716592595.964794,-1.987920,-0.493738,0.008734,0.000009,0.000778,0.000244,1.000000
real,5.805000,-1.999976,-0.500000,0.008717,0.000009,0.000776,0.000151,1.000000
odom,5.839000,-1.989276,-0.526118,0.008716,0.000010,0.000777,0.000152,1.000000
estimator,1716592595.999307,-1.931838,-0.484566,0.008737,0.000008,0.000778,0.000151,1.000000
real,5.839000,-1.999976,-0.500000,0.008716,0.000010,0.000777,0.000152,1.000000
odom,5.873000,-2.047388,-0.520759,0.008721,0.000009,0.000778,0.000153,1.000000
estimator,1716592596.032667,-1.989276,-0.526118,0.008737,0.000009,0.000779,0.000152,1.000000
